,0
0,74.4223041196342
1,74.42175211602392
2,74.42144150867455
3,74.42126129741787
4,74.41934155866136
5,74.43255290304401
6,74.41377571523245
7,74.40916313093587
8,74.40426850929009
9,74.40228245139285
10,74.2969652694343
11,74.28370519106957
12,74.11313062483401
13,74.0805940196184
14,74.04465075057202
15,73.66274384283712
16,73.58318614239914
17,73.39839395169155
18,73.29137409590933
19,73.042937504755
20,72.74054278867169
21,72.56886006529778
22,68.41803905790825
23,59.11781257355038
24,56.13953028809179
25,50.765295674447174
26,30.917290306291072
27,25.00164964711281
28,13.155310347685084
29,0.9649020994544995
30,0.0
31,0.0
32,0.0
